drug,multiplication_result
fostamatinib,5.836730435016371e-07
lasofoxifene,4.508462045960589e-07
zinc,2.949656116389859e-07
sunitinib,2.287930459071912e-07
vinblastine,1.4749846128806486e-07
acitretin,5.0880301611595835e-08
citric acid,4.168281552229513e-08
isoprenaline,3.7936980729096366e-08
dasatinib,3.0414775807455296e-08
resveratrol,2.1541486579672202e-08
bosutinib,2.105083529580113e-08
arsenic trioxide,2.0513007798073614e-08
tamoxifen,1.9271665918279272e-08
aspirin,1.9017809310709328e-08
pseudoephedrine,1.665848787811007e-08
vandetanib,1.2953877644565522e-08
gestrinone,9.376486344422362e-10
bezafibrate,7.796024080908861e-10
norgestimate,7.110766399029797e-10
medroxyprogesterone acetate,5.069022671439707e-10
desogestrel,5.069022671439707e-10
ethynodiol-diacetate,5.069022671439707e-10
